ID,linker
232,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
233,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
234,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
235,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
236,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
237,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
238,CCCc1nc(c([nH]1)C(=O)[O-])C(=O)[O-]
239,[O-]C(=O)CC(C(=O)[O-])[O]
240,[O-]C(=O)CC(C(=O)[O-])[O]
241,[O-]C(=O)CC(C(=O)[O-])[O]
242,[O-]C(=O)CC(C(=O)[O-])[O]
243,[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]
244,[O-]C(=O)C1=C([N]C(=N1)CN1[CH]N=C[N]1)C(=O)[O-]
245,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1
246,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1
247,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1
248,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1
249,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
250,C1=N[CH]C=N1
251,[O-]C(=O)CCP(=O)([O])[O]
252,n1ccc(cc1)C1=NN=N[N]1
253,[O-]C(=O)c1cnccc1C(=O)[O-]
254,c1ncn(c1)[B](n1cncc1)(n1cncc1)n1cncc1
255,c1ncn(c1)[B](n1cncc1)(n1cncc1)n1cncc1
256,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]
257,[O-]C(=O)C=Cc1ccc(cc1)C(=O)[O-]
258,[O-]C(=O)c1cnccc1C(=O)[O-]
259,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
260,[CH]1[CH]N=C(N=C1)C1=N[CH][CH]C=N1
261,[O-]C(=O)COc1cccc(c1)OCC(=O)[O-]
262,NCCCCCCN
263,n1ccc(cc1)C=Cc1ccncc1
264,n1ccc(cc1)C=Cc1ccncc1
265,[O-]C(=O)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-]
266,[O-]C(=O)c1cccc(c1)c1cncc(c1)C(=O)[O-]
267,c1ccc(nc1)C1=[N]=C(N=N1)C1=[N]=CN=N1
268,[O-]C(=O)C1CCN(CC1)C1=NC(=[N]=C([N]1)N1CCC(CC1)C(=O)[O-])N1CCC(CC1)C(=O)[O-]
269,[O-]C(=O)C1CCN(CC1)C1=NC(=[N]=C([N]1)N1CCC(CC1)C(=O)[O-])N1CCC(CC1)C(=O)[O-]
270,[O-]C(=O)c1ccc(cc1)c1ccncc1
271,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-]
272,[O-]C(=O)c1ccnc(c1)C(=O)[O-]
273,[O-]C(=O)c1cccc(c1)C(=O)[O-]
274,[C]#N
275,[C]#N
276,[C]#N
277,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
278,[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-]
279,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
280,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
281,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
282,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
283,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
284,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
285,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
286,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
287,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
288,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
289,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
290,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
291,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
292,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
293,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
294,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
295,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
296,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
297,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
298,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
299,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
300,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
301,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
302,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
303,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
304,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
305,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
306,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
307,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
308,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
309,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
310,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
311,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
