ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
273,0.02690583,30,65.58,1.42,3.69,7.08,-60
274,0.294117647,29,63.55,1.45,4.48,6.1,119
275,0.294117647,29,63.55,1.45,4.48,6.1,119
276,0.294117647,29,63.55,1.45,4.48,6.1,119
277,0.055555556,31,69.72,1.36,3.21,8.12,29
278,0.013513514,49,114.8,1.56,3.04,4.5,37
279,0.076923077,29,63.55,1.45,4.48,6.1,119
280,0.076923077,29,63.55,1.45,4.48,6.1,119
281,0.076923077,29,63.55,1.45,4.48,6.1,119
282,0.076923077,29,63.55,1.45,4.48,6.1,119
283,0.076923077,29,63.55,1.45,4.48,6.1,119
284,0.076923077,29,63.55,1.45,4.48,6.1,119
285,0.076923077,29,63.55,1.45,4.48,6.1,119
286,0.076923077,29,63.55,1.45,4.48,6.1,119
287,0.076923077,29,63.55,1.45,4.48,6.1,119
288,0.076923077,29,63.55,1.45,4.48,6.1,119
289,0.076923077,29,63.55,1.45,4.48,6.1,119
290,0.076923077,29,63.55,1.45,4.48,6.1,119
291,0.076923077,29,63.55,1.45,4.48,6.1,119
292,0.076923077,29,63.55,1.45,4.48,6.1,119
293,0.076923077,29,63.55,1.45,4.48,6.1,119
294,0.076923077,29,63.55,1.45,4.48,6.1,119
295,0.076923077,29,63.55,1.45,4.48,6.1,119
296,0.076923077,29,63.55,1.45,4.48,6.1,119
297,0.076923077,29,63.55,1.45,4.48,6.1,119
298,0.076923077,29,63.55,1.45,4.48,6.1,119
299,0.076923077,29,63.55,1.45,4.48,6.1,119
300,0.076923077,29,63.55,1.45,4.48,6.1,119
301,0.076923077,29,63.55,1.45,4.48,6.1,119
302,0.076923077,29,63.55,1.45,4.48,6.1,119
303,0.076923077,29,63.55,1.45,4.48,6.1,119
304,0.076923077,29,63.55,1.45,4.48,6.1,119
305,0.076923077,29,63.55,1.45,4.48,6.1,119
306,0.076923077,29,63.55,1.45,4.48,6.1,119
307,0.076923077,29,63.55,1.45,4.48,6.1,119
308,0.076923077,29,63.55,1.45,4.48,6.1,119
309,0.076923077,29,63.55,1.45,4.48,6.1,119
310,0.076923077,29,63.55,1.45,4.48,6.1,119
311,0.076923077,29,63.55,1.45,4.48,6.1,119
312,0.076923077,29,63.55,1.45,4.48,6.1,119
313,0.076923077,29,63.55,1.45,4.48,6.1,119
314,0.076923077,29,63.55,1.45,4.48,6.1,119
315,0.076923077,29,63.55,1.45,4.48,6.1,119
316,0.076923077,29,63.55,1.45,4.48,6.1,119
317,0.013513514,49,114.8,1.56,3.04,4.5,37
318,0.038461538,48,112.4,1.61,3.8,6,-70
319,0.090909091,30,65.58,1.42,3.69,7.08,-60
320,0.016393443,29,63.55,1.45,4.48,6.1,119
321,0.032258065,19,39.1,2.43,2.42,43.4,48
322,0.016393443,92,238,2.22,3.37,46,51
323,0.033333333,25,54.94,1.61,3.47,8.6,-50
324,0.1,30,65.58,1.42,3.69,7.08,-60
325,0.031578947,48,112.4,1.61,3.8,6,-70
326,0.03030303,30,65.58,1.42,3.69,7.08,-60
327,0.1,30,65.58,1.42,3.69,7.08,-60
328,0.027027027,48,112.4,1.61,3.8,6,-70
329,0.052631579,64,157,2.33,3.45,26,13
330,0.052631579,64,157,2.33,3.45,26,13
331,0.052631579,64,157,2.33,3.45,26,13
332,0.052631579,64,157,2.33,3.45,26,13
333,0.052631579,64,157,2.33,3.45,26,13
334,0.052631579,64,157,2.33,3.45,26,13
335,0.068493151,26,55.85,1.56,4.03,7.5,15
336,0.016393443,30,65.58,1.42,3.69,7.08,-60
337,0.06122449,28,58.69,1.49,4.4,6.5,112
338,0.058823529,28,58.69,1.49,4.4,6.5,112
339,0.037037037,48,112.4,1.61,3.8,6,-70
340,0.068965517,29,63.55,1.45,4.48,6.1,119
341,0.076923077,27,58.93,1.52,4.27,6.8,64
342,0.071428571,92,238,2.22,3.37,46,51
343,0.090909091,92,238,2.22,3.37,46,51
344,0.037037037,30,65.58,1.42,3.69,7.08,-60
345,0.111111111,27,58.93,1.52,4.27,6.8,64
346,0.111111111,27,58.93,1.52,4.27,6.8,64
347,0.111111111,27,58.93,1.52,4.27,6.8,64
348,0.027027027,29,63.55,1.45,4.48,6.1,119
349,0.075471698,30,65.58,1.42,3.69,7.08,-60
350,0.214285714,75,186.207,1.88,4.02,9.7,14
351,0.214285714,75,186.207,1.88,4.02,9.7,14
352,0.214285714,75,186.207,1.88,4.02,9.7,14
353,0.214285714,75,186.207,1.88,4.02,9.7,14
354,0.045454545,30,65.58,1.42,3.69,7.08,-60
355,0.048192771,30,65.58,1.42,3.69,7.08,-60
356,0.052631579,13,26.98,1.18,3.21,8.34,42
357,0.053333333,13,26.98,1.18,3.21,8.34,42
358,0.052631579,13,26.98,1.18,3.21,8.34,42
359,0.058823529,27,58.93,1.52,4.27,6.8,64
360,0.046511628,38,87.62,2.19,2.87,27.6,5
361,0.027777778,20,40.08,1.94,3.07,25,2
362,0.017391304,48,112.4,1.61,3.8,6,-70
363,0.033333333,58,140,2.1,3.25,36,55
364,0.033333333,39,88.91,2.12,3.26,22,30
365,0.033333333,59,141,2.47,3.22,34,11
366,0.033333333,60,144,2.06,3.25,32,9
367,0.033333333,62,150.5,2.38,3.35,29,16
368,0.033333333,64,157,2.33,3.45,26,13
369,0.033333333,66,162.5,2.28,3.51,25,1
370,0.033333333,68,167,2.26,3.58,23,30
371,0.033333333,69,169,2.22,3.61,22,99
372,0.026315789,30,65.58,1.42,3.69,7.08,-60
373,0.017857143,30,65.58,1.42,3.69,7.08,-60
374,0.034482759,27,58.93,1.52,4.27,6.8,64
375,0.034482759,27,58.93,1.52,4.27,6.8,64
376,0.044776119,27,58.93,1.52,4.27,6.8,64
377,0.090909091,30,65.58,1.42,3.69,7.08,-60
378,0.041666667,57,139,2.26,3.02,37,54
379,0.037037037,57,139,2.26,3.02,37,54
380,0.038461538,60,144,2.06,3.25,32,9
381,0.035714286,62,150.5,2.38,3.35,29,16
382,0.035714286,64,157,2.33,3.45,26,13
383,0.035714286,64,157,2.33,3.45,26,13
384,0.035714286,68,167,2.26,3.58,23,30
385,0.03125,57,139,2.26,3.02,37,54
386,0.03125,60,144,2.06,3.25,32,9
387,0.03125,58,140,2.1,3.25,36,55
388,0.04494382,29,63.55,1.45,4.48,6.1,119
389,0.045454545,29,63.55,1.45,4.48,6.1,119
390,0.058823529,21,44.96,1.84,3.37,16.9,18
391,0.03030303,30,65.58,1.42,3.69,7.08,-60
392,0.014925373,48,112.4,1.61,3.8,6,-70
393,0.020408163,48,112.4,1.61,3.8,6,-70
394,0.020408163,27,58.93,1.52,4.27,6.8,64
395,0.020408163,48,112.4,1.61,3.8,6,-70
396,0.03,27,58.93,1.52,4.27,6.8,64
397,0.04359673,25,54.94,1.61,3.47,8.6,-50
398,0.111111111,48,112.4,1.61,3.8,6,-70
399,0.027777778,30,65.58,1.42,3.69,7.08,-60
400,0.022222222,19,39.1,2.43,2.42,43.4,48
401,0.042553191,60,144,2.06,3.25,32,9
