Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
313,6.72842,13.21213,0.416137,1248.364481,0.46834455,1.125457609
314,6.72027,13.20713,0.416474,1253.590844,0.46861022,1.125184802
315,6.75093,13.20811,0.417508,1255.154212,0.46992556,1.125548628
316,6.72868,13.31837,0.41428,1253.073295,0.46845879,1.130778192
317,3.97754,4.7621,0.0607546,0,0.05298022,0.872036376
318,3.68537,4.62397,0.0629692,0,0.05279088,0.838360341
319,4.44242,5.1959,0.0997996,0,0.07841647,0.785739352
320,4.10454,6.93975,0.0928508,63.587726,0.09518788,1.025170233
321,7.69383,8.16581,0.241871,587.585484,0.21587352,0.892515087
322,6.90626,7.6443,0.197204,377.979973,0.15929526,0.807768898
323,3.6266,4.36513,0.0280146,0,0.02418389,0.863260245
324,4.30656,6.00118,0.127003,0,0.12133178,0.955345751
325,3.60194,5.65255,0.112966,0,0.08996829,0.796419197
326,3.96809,4.97649,0.0586586,0,0.05381171,0.917371119
327,3.35707,4.19045,0.0191542,0,0.01552805,0.810686668
328,3.49315,4.87658,0.0207932,0,0.01306452,0.628307522
329,6.55528,6.76975,0.180555,244.370449,0.11619087,0.643520653
330,6.52947,6.79472,0.17216,212.829703,0.10580135,0.614552447
331,6.51858,6.77901,0.171253,211.732752,0.10514872,0.613996347
332,6.69414,6.9058,0.187697,283.80161,0.12456264,0.663636798
333,6.65967,6.93311,0.176439,215.7187,0.10957439,0.621032716
334,6.65051,6.92142,0.175783,212.12527,0.10866232,0.618161707
335,4.89856,6.33428,0.224563,340.097862,0.19848713,0.883881735
336,11.57905,12.44111,0.230514,749.382484,0.26999135,1.171257934
337,3.92884,4.8165,0.0790093,0,0.05514193,0.697916891
338,3.98291,4.7908,0.0857368,0,0.06007753,0.700720488
339,3.39977,5.08611,0.0248599,0,0.01844308,0.741880707
340,3.93176,4.5796,0.0392506,0,0.03272511,0.833747976
341,10.56211,11.29556,0.727625,4343.578583,1.78721968,2.456237315
