Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
379,-5581.9932,-14390.58114,-1357.40111,-1097.20054,0.00425992,6.27E-07,6.87E-07,3.86E-07
380,-5749.03967,-15661.73438,-1443.84628,-1117.17646,0.00477868,6.23E-07,6.85E-07,3.79E-07
381,-5753.99526,-15870.52416,-1457.67531,-1133.66064,0.00601896,6.37E-07,6.95E-07,3.81E-07
382,-5024.6373,-13380.87896,-1360.16159,-1172.45901,0.000436295,4.17E-07,5.00E-07,2.90E-07
383,-5772.41259,-15617.77424,-1435.35025,-1136.62739,0.00608682,6.31E-07,6.85E-07,3.75E-07
384,-5795.27605,-7649.87031,-1179.52173,-1129.32116,0.0059019,6.16E-07,6.73E-07,3.68E-07
385,-7862.52386,-16566.39329,-2320.9072,-1748.28883,0.0999387,6.35E-07,7.26E-07,2.94E-07
386,-6151.50154,-17327.09228,-2513.64267,-1798.06094,0.000367907,4.59E-07,5.83E-07,2.49E-07
387,-6458.0558,-17075.54184,-2481.54212,-1769.61746,0.000960716,4.92E-07,6.10E-07,2.59E-07
388,-6920.6454,-2579.54021,-1395.62114,-1375.86816,0.0168357,2.85E-07,3.15E-07,1.51E-07
389,-3124.82167,-3169.85685,-1603.64417,-1585.79424,3.27E-07,4.92E-07,7.25E-07,3.62E-07
390,-5514.20748,-2324.93264,-1200.76887,-1224.77736,0.00781907,7.65E-07,8.46E-07,4.34E-07
391,-5723.93934,-2469.35521,-1268.143,-1273.53286,0.00628984,6.34E-07,7.14E-07,3.65E-07
392,-6557.51194,-2385.08959,-1352.32374,-1328.62036,0.0181286,7.73E-07,8.82E-07,4.43E-07
393,-10673.35115,-4018.10618,-1914.61919,-1843.76743,16.4387,9.02E-07,9.69E-07,3.55E-07
394,-11047.72067,-3935.34123,-2035.67887,-1945.56549,37.8113,1.22E-06,1.29E-06,4.34E-07
395,-8247.81669,-3600.48769,-1675.56663,-1644.79295,0.571329,9.00E-07,9.92E-07,4.07E-07
396,-7234.28738,-3808.40505,-1950.03617,-1907.63609,0.00532346,6.66E-07,8.05E-07,3.00E-07
397,-6393.82734,-10358.99543,-1418.3468,-1379.50092,0.013773,6.54E-07,7.52E-07,3.64E-07
398,-6491.91726,-7110.34006,-1648.62466,-1482.35901,0.00207374,3.23E-07,3.97E-07,1.99E-07
399,-7319.27863,-3979.07285,-1611.46965,-1573.31998,0.0194188,8.40E-07,1.01E-06,4.66E-07
400,-6423.27681,-3937.55065,-1783.12052,-1720.56578,0.000801074,4.58E-07,5.51E-07,2.40E-07
