Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
143,6.111689243,18.33506773,0,9.167533865,1.527922311,0,0,0,0,0,0,0,0,0,0,0,0,0
144,15.23285844,26.18147545,0,0.476026826,7.140402395,0,0,0,0,0,0,0,0,0,0.476026826,0,0,0
145,15.89757309,26.18423804,0,0.935151358,6.546059509,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,8.260450188,0,5.506966792,0,0,0,0,0,2.753483396,0,13.76741698,0,0,0
147,17.0356543,25.55348145,8.517827151,0,2.129456788,0,0,0,0,0,0,0,0,0,0,0,0,0
148,23.89616408,38.83126662,0,0,6.969714522,0,0,0,0,0,0,0,0.995673503,0,0,0,0,0
149,4.427108716,17.70843487,0,0,13.28132615,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4.41436923,17.65747692,0,0,13.24310769,0,0,0,0,0,0,0,0,0,0,0,0,0
151,4.518462174,18.07384869,0,0,13.55538652,0,0,0,0,0,0,0,0,0,0,0,0,0
152,4.51013054,18.04052216,0,0,13.53039162,0,0,0,0,0,0,0,0,0,0,0,0,0
153,4.507948721,18.03179488,0,0,13.52384616,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4.502029844,18.00811938,0,0,13.50608953,0,0,0,0,0,0,0,0,0,0,0,0,0
155,16.96677311,23.90772575,3.856084798,0.77121696,8.483386555,1.542433919,0,0,0,0,0,0,0,0,1.542433919,0,0,0
156,18.09307011,18.09307011,27.13960517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,18.02760722,18.02760722,27.04141084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,26.75098554,6.687746385,26.75098554,0,3.343873193,0,0,0,13.37549277,0,0,0,0,0,0,0,0,0
159,26.52772302,6.631930755,26.52772302,0,3.315965377,0,0,0,13.26386151,0,0,0,0,0,0,0,0,0
160,26.1388972,6.5347243,26.1388972,0,3.26736215,0,0,0,13.0694486,0,0,0,0,0,0,0,0,0
161,26.37453519,6.593633798,26.37453519,0,3.296816899,0,0,0,13.1872676,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,20.63291495,36.10760116,0,8.597047895,1.719409579,0,0,0,0,0,0,0,0,0,0,0,0,0
164,24.87596031,37.31394046,8.29198677,0,0,0,0,4.145993385,0,0,0,0,0,0,0,0,0,0
165,21.23120658,31.84680986,7.077068858,0,5.307801644,0,0,3.538534429,0,0,2.653900822,0,0,0,0,0,0,0
166,14.52775497,26.14995894,0,0,5.811101988,0,0,0,0,0,0,0,0,0,0,0,0,0
167,14.22590552,0,0,0,21.33885829,0,7.112952762,0,7.112952762,0,0,0,0,3.556476381,0,0,0,0
168,6.987310451,18.63282787,2.329103484,13.9746209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,30.56729997,18.34037998,12.22691999,0,0,0,0,0,6.113459994,0,0,0,0,0,0,0,0,0
170,25.6898243,8.563274767,0,8.563274767,8.563274767,0,2.854424922,0,11.41769969,0,0,0,0,0,0,0,0,0
171,6.39390321,19.18170963,0,0,12.78780642,0,0,0,0,0,0,0,0,0,0,0,0,0
172,36.90652795,18.45326397,2.636180568,0,10.54472227,0,0,0,15.81708341,0,0,0,0,0,0,0,0,0
173,21.72420792,36.93115347,3.258631188,8.146577971,1.086210396,0,0,0,0,0,0,0,0.543105198,0,0,0,0,0
174,7.314256328,14.62851266,1.219042721,1.219042721,4.876170885,0,0,0,0,0,0,0,0,0,0,0,0,0
175,17.2964231,12.97231733,0,0,0,0,4.324105775,0,4.324105775,0,0,0,0,0,0,0,0,0
176,20.49943873,16.10670186,8.785473742,1.464245624,4.392736871,1.464245624,0,0,2.928491247,0,0,0,0,0,0,0,0,0
177,22.6133682,36.74672332,0,0,5.653342049,0,0,0,0,0,0,0,0.942223675,0,0,0,0,0
178,27.29057399,6.822643498,0,9.096857998,4.548428999,0,0,0,13.645287,0,0,0,0,0,0,0,0,0
179,38.78745299,6.464575498,0,8.619433997,4.309716998,0,0,0,19.39372649,0,0,0,0,0,0,0,0,0
180,19.17754838,28.76632257,4.794387096,0,9.588774191,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,17.79950625,10.17114643,0,0,0,0,0,0,0,0,0,0,0,0,10.17114643,0,0
182,13.15775855,26.31551711,0,0,8.771839035,0,0,0,0,0,0,0,0,0,0,0,0,0
183,13.18674556,26.37349112,0,0,8.791163708,0,0,0,0,0,0,0,0,0,0,0,0,0
184,12.89942483,25.79884966,0,0,12.89942483,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3.81512086,11.44536258,0,0,7.630241719,0,0,0,0,1.271706953,0,0,0,0,0,0,0,0
186,8.586127101,22.07861254,0,14.71907503,0,0,0,0,0,0,0,3.679768757,0,0,0,0,0,0
187,9.214489005,4.607244502,0,0,13.82173351,0,0,0,4.607244502,0,0,0,0,0,0,0,0,0
188,9.322845731,4.661422865,0,0,13.9842686,0,0,0,4.661422865,0,0,0,0,0,0,0,0,0
189,9.56169769,22.31062794,3.187232563,0,15.93616282,0,0,0,0,0,3.187232563,0,0,0,0,0,0,0
190,16.45391423,30.16550942,4.113478558,0,2.742319039,0,0,0,0,0,0,0,0,0,2.742319039,0,0,2.742319039
